customer_id,signup_date,region,age,plan,contract,payment_method,tenure_months,monthly_charges,support_tickets,late_payments,nps,usage_hours,last_login_days,auto_pay,churn,churn_date
CUST-00065,2023-06-23,Nordeste,30,Básico,Mensal,Boleto,36,53.14,1,3,10,10.2,21,Sim,1,2026-01-27
CUST-00066,2024-09-09,Sul,37,Padrão,Mensal,Boleto,21,96.09,2,1,9,39.2,6,Não,1,2026-03-18
CUST-00067,2023-10-13,Sul,62,Básico,Mensal,Cartão,33,63.55,1,1,10,21.7,11,Sim,0,
CUST-00068,2025-09-04,Sudeste,56,Padrão,Mensal,Boleto,9,107.56,2,1,7,44.6,12,Sim,1,2026-04-07
CUST-00069,2024-05-04,Sudeste,43,Premium,Mensal,Cartão,26,164.62,3,1,6,51.1,17,Sim,1,2026-03-08
CUST-00070,2024-01-03,Sul,39,Padrão,Anual,Boleto,30,124.09,4,0,8,24.8,7,Não,0,
CUST-00071,2024-02-28,Sudeste,49,Básico,Anual,Débito automático,28,74.32,1,1,9,31.5,3,Não,0,
CUST-00072,2025-03-30,Sudeste,53,Básico,Anual,Débito automático,15,62.11,2,1,7,24.9,7,Sim,0,
CUST-00073,2025-03-08,Centro-Oeste,29,Básico,Bienal,Cartão,15,45.41,3,1,7,42.7,13,Sim,0,
CUST-00074,2023-05-14,Sudeste,38,Básico,Mensal,Boleto,38,49.54,0,0,8,60.7,3,Sim,0,
CUST-00075,2023-06-01,Sudeste,18,Padrão,Mensal,Cartão,37,79.0,2,0,8,4.7,5,Não,1,2026-02-20
CUST-00076,2026-02-15,Sudeste,52,Básico,Anual,Pix,4,61.15,1,1,7,26.1,3,Não,1,2026-03-02
CUST-00077,2026-03-01,Sudeste,64,Básico,Mensal,Boleto,4,63.64,1,0,8,77.7,6,Sim,1,2026-05-26
CUST-00078,2020-07-07,Nordeste,40,Básico,Mensal,Pix,72,71.5,1,0,8,30.3,11,Não,0,
CUST-00079,2023-12-28,Sul,18,Premium,Mensal,Cartão,30,162.74,3,0,9,37.5,8,Sim,1,2026-06-17
CUST-00080,2024-02-20,Nordeste,46,Básico,Mensal,Boleto,28,73.76,1,2,6,99.3,3,Sim,0,
CUST-00081,2025-05-12,Nordeste,28,Básico,Mensal,Boleto,13,74.04,1,0,3,73.3,11,Não,1,2026-03-18
CUST-00082,2024-11-01,Sudeste,31,Padrão,Mensal,Pix,20,84.61,1,1,5,43.7,2,Não,0,
CUST-00083,2025-02-25,Nordeste,47,Básico,Anual,Pix,16,51.75,4,0,8,30.8,23,Sim,1,2026-05-22
CUST-00084,2022-07-09,Sudeste,42,Premium,Anual,Boleto,48,158.85,2,1,6,50.4,19,Não,1,2026-05-20
CUST-00085,2022-08-10,Sudeste,33,Básico,Bienal,Pix,47,49.11,0,0,8,24.8,24,Sim,0,
CUST-00086,2023-11-20,Sudeste,31,Padrão,Mensal,Cartão,31,95.59,3,1,7,25.6,3,Sim,1,2026-03-14
CUST-00087,2024-04-05,Nordeste,41,Padrão,Mensal,Pix,27,103.22,1,0,7,17.9,2,Não,0,
CUST-00088,2023-09-04,Sul,34,Padrão,Anual,Boleto,34,97.28,2,4,8,23.4,15,Sim,0,
CUST-00089,2024-04-07,Sudeste,26,Padrão,Mensal,Cartão,27,99.0,1,1,10,30.5,19,Não,1,2026-03-29
CUST-00090,2023-05-08,Sul,35,Padrão,Mensal,Cartão,38,85.8,0,0,7,42.0,9,Sim,0,
CUST-00091,2021-09-23,Sudeste,43,Padrão,Anual,Débito automático,58,106.09,1,1,5,44.0,24,Não,0,
CUST-00092,2024-06-17,Nordeste,37,Padrão,Anual,Débito automático,24,105.07,1,1,8,28.8,2,Não,0,
CUST-00093,2025-05-19,Sul,22,Padrão,Mensal,Pix,13,88.32,3,0,9,38.0,15,Sim,0,
CUST-00094,2024-02-29,Sudeste,51,Padrão,Anual,Boleto,28,80.89,2,0,2,63.1,9,Sim,0,
CUST-00095,2025-01-09,Sudeste,18,Padrão,Anual,Débito automático,17,116.22,3,0,6,49.0,2,Sim,0,
CUST-00096,2025-12-02,Nordeste,34,Básico,Anual,Pix,7,83.47,1,0,7,21.9,17,Sim,0,
CUST-00097,2025-08-20,Sudeste,32,Básico,Mensal,Cartão,10,62.29,2,0,6,33.5,2,Sim,0,
CUST-00098,2022-01-27,Sudeste,41,Básico,Anual,Boleto,53,53.94,3,1,7,58.9,12,Sim,0,
CUST-00099,2024-03-14,Sudeste,46,Básico,Anual,Débito automático,27,73.65,1,0,6,23.7,17,Sim,0,
CUST-00100,2024-11-10,Norte,53,Padrão,Mensal,Boleto,19,105.58,2,0,9,21.1,16,Não,0,
CUST-00101,2024-01-24,Centro-Oeste,30,Básico,Anual,Cartão,29,56.05,2,0,7,24.8,6,Não,0,
CUST-00102,2024-12-13,Nordeste,46,Padrão,Anual,Débito automático,18,112.55,3,2,3,31.0,5,Sim,0,
CUST-00103,2021-12-27,Sudeste,41,Padrão,Mensal,Boleto,54,87.67,2,0,9,21.7,4,Não,0,
CUST-00104,2020-07-16,Norte,18,Padrão,Mensal,Pix,72,89.33,2,0,9,25.3,10,Não,1,2026-05-30
CUST-00105,2024-12-23,Nordeste,62,Padrão,Mensal,Débito automático,18,104.09,2,1,7,64.2,3,Não,0,
CUST-00106,2024-07-17,Nordeste,22,Básico,Anual,Boleto,23,60.6,0,1,3,59.7,22,Sim,1,2026-01-21
CUST-00107,2023-10-31,Sul,44,Básico,Mensal,Boleto,32,67.92,5,1,9,9.7,18,Não,1,2026-03-13
CUST-00108,2025-08-12,Sudeste,44,Padrão,Mensal,Débito automático,10,115.71,1,0,5,13.6,9,Sim,0,
CUST-00109,2026-01-27,Sudeste,42,Padrão,Mensal,Cartão,5,77.27,2,0,6,49.0,9,Sim,0,
CUST-00110,2022-05-09,Centro-Oeste,33,Padrão,Anual,Boleto,50,99.55,0,1,6,24.2,1,Não,0,
CUST-00111,2024-11-28,Sul,49,Padrão,Anual,Pix,19,125.62,1,1,4,20.5,4,Sim,1,2026-03-21
CUST-00112,2024-12-27,Sudeste,20,Padrão,Mensal,Débito automático,18,90.65,3,1,7,40.5,3,Sim,1,2026-03-04
CUST-00113,2023-09-21,Sudeste,38,Padrão,Mensal,Débito automático,33,88.99,3,1,8,45.9,7,Sim,1,2026-03-02
CUST-00114,2025-05-08,Sul,32,Padrão,Mensal,Boleto,13,67.63,1,0,7,48.7,5,Sim,0,
CUST-00115,2024-12-19,Sudeste,31,Padrão,Mensal,Boleto,18,100.42,2,3,7,12.3,6,Não,1,2026-03-12
CUST-00116,2025-08-21,Centro-Oeste,44,Básico,Anual,Boleto,10,67.13,2,1,6,46.8,8,Não,0,
CUST-00117,2025-12-14,Nordeste,52,Básico,Mensal,Cartão,6,67.1,4,0,10,41.7,1,Sim,0,
CUST-00118,2025-02-01,Nordeste,35,Básico,Anual,Pix,17,44.48,1,1,7,29.8,3,Sim,0,
CUST-00119,2025-05-14,Sul,48,Padrão,Anual,Cartão,13,98.88,1,0,5,52.7,12,Sim,0,
CUST-00120,2025-07-02,Nordeste,40,Padrão,Bienal,Boleto,12,102.1,1,1,8,51.0,5,Não,0,
CUST-00121,2024-04-14,Sul,28,Básico,Mensal,Boleto,26,59.73,1,1,8,56.1,11,Sim,0,
CUST-00122,2023-02-05,Nordeste,36,Básico,Mensal,Pix,41,43.67,0,0,8,21.1,21,Sim,0,
CUST-00123,2023-01-05,Sudeste,35,Padrão,Mensal,Cartão,42,100.08,5,2,7,20.6,14,Sim,1,2026-02-10
CUST-00124,2023-02-04,Sudeste,31,Básico,Bienal,Pix,41,47.6,2,0,6,101.1,1,Não,0,
CUST-00125,2025-04-29,Sudeste,44,Premium,Anual,Pix,14,132.79,1,0,4,56.2,0,Não,1,2026-03-19
CUST-00126,2024-07-07,Sul,42,Básico,Anual,Débito automático,24,68.54,2,1,6,24.6,7,Não,0,
CUST-00127,2025-01-17,Sudeste,20,Básico,Anual,Débito automático,17,60.96,4,0,4,29.5,3,Sim,0,
CUST-00128,2025-03-24,Sudeste,19,Padrão,Mensal,Pix,15,107.29,3,1,8,46.3,7,Sim,0,
CUST-00129,2025-03-17,Sudeste,44,Básico,Anual,Boleto,15,51.52,1,1,4,49.4,3,Não,0,
CUST-00130,2025-07-29,Sul,29,Básico,Anual,Cartão,11,67.77,3,2,6,11.9,1,Sim,0,
CUST-00131,2023-12-16,Sudeste,43,Básico,Mensal,Cartão,30,73.31,2,1,9,39.8,16,Sim,0,
CUST-00132,2022-05-25,Centro-Oeste,48,Básico,Bienal,Boleto,49,83.56,1,0,7,51.0,8,Não,0,
CUST-00133,2025-01-20,Sul,24,Básico,Bienal,Boleto,17,70.39,1,0,7,25.3,4,Sim,0,
CUST-00134,2025-03-19,Sudeste,22,Padrão,Bienal,Cartão,15,104.39,2,0,8,12.1,32,Sim,0,
CUST-00135,2026-01-19,Sul,59,Básico,Anual,Cartão,5,39.68,1,0,8,47.7,0,Sim,0,
CUST-00136,2023-06-04,Sudeste,43,Padrão,Mensal,Pix,37,97.51,1,0,9,16.2,2,Sim,0,
CUST-00137,2026-02-25,Norte,34,Básico,Anual,Cartão,4,39.08,2,0,8,61.3,17,Sim,0,
CUST-00138,2024-04-20,Sul,28,Premium,Mensal,Pix,26,147.54,0,1,8,19.6,3,Não,0,
CUST-00139,2025-04-07,Nordeste,33,Padrão,Anual,Pix,14,126.37,2,1,3,37.8,5,Não,0,
CUST-00140,2024-09-11,Sudeste,25,Premium,Mensal,Débito automático,21,144.68,4,0,8,13.0,15,Não,0,
CUST-00141,2024-03-20,Sul,50,Premium,Anual,Cartão,27,126.2,2,0,10,37.1,5,Sim,0,
CUST-00142,2024-05-10,Sul,30,Básico,Mensal,Cartão,26,70.38,1,1,8,33.6,11,Sim,0,
CUST-00143,2022-10-14,Norte,52,Padrão,Mensal,Cartão,45,89.58,5,0,9,29.2,9,Não,0,
CUST-00144,2026-02-10,Sul,34,Básico,Mensal,Cartão,4,69.75,1,0,6,25.2,21,Sim,0,
CUST-00145,2023-01-17,Sul,26,Premium,Anual,Boleto,42,142.62,0,0,7,29.8,7,Sim,0,
CUST-00146,2024-03-02,Sudeste,34,Padrão,Mensal,Pix,28,93.04,1,0,8,25.7,5,Não,1,2026-02-01
CUST-00147,2022-07-03,Sudeste,18,Básico,Mensal,Cartão,48,75.74,1,0,8,46.0,23,Sim,0,
CUST-00148,2024-05-23,Sul,38,Premium,Mensal,Débito automático,25,140.49,6,1,9,38.2,4,Não,0,
CUST-00149,2025-10-06,Sul,37,Premium,Mensal,Boleto,8,156.63,1,1,5,36.1,11,Sim,1,2026-04-07
CUST-00150,2024-07-23,Sudeste,49,Premium,Bienal,Cartão,23,163.08,2,0,5,37.3,7,Sim,0,
CUST-00151,2023-07-06,Nordeste,18,Básico,Mensal,Cartão,36,48.93,3,1,4,27.3,13,Não,0,
CUST-00152,2023-03-16,Centro-Oeste,53,Básico,Mensal,Débito automático,40,62.39,2,1,8,40.9,7,Não,1,2026-02-02
CUST-00153,2024-07-25,Sudeste,49,Básico,Mensal,Boleto,23,59.22,3,0,7,51.3,5,Não,1,2026-01-15
CUST-00154,2024-09-18,Sul,54,Padrão,Mensal,Débito automático,21,106.48,3,1,7,43.5,15,Sim,1,2026-03-19
CUST-00155,2024-02-16,Sudeste,38,Padrão,Mensal,Cartão,28,124.79,2,0,6,50.6,6,Sim,0,
CUST-00156,2022-11-13,Nordeste,51,Básico,Mensal,Boleto,44,96.45,2,0,5,45.5,14,Não,1,2026-05-03
CUST-00157,2024-12-09,Sudeste,21,Padrão,Mensal,Cartão,18,105.49,4,0,7,40.2,19,Não,1,2026-05-09
CUST-00158,2023-10-20,Nordeste,48,Básico,Mensal,Cartão,32,57.45,3,0,9,17.9,15,Sim,1,2026-03-29
CUST-00159,2020-11-10,Nordeste,30,Padrão,Mensal,Boleto,68,105.17,2,1,10,23.2,2,Sim,0,
CUST-00160,2020-07-25,Nordeste,19,Premium,Anual,Boleto,72,155.75,0,1,10,12.9,5,Sim,0,
CUST-00161,2022-11-12,Sudeste,26,Padrão,Mensal,Cartão,44,76.78,1,3,6,51.2,6,Não,0,
CUST-00162,2024-09-28,Centro-Oeste,39,Básico,Anual,Cartão,21,58.35,0,0,5,18.2,12,Sim,0,
CUST-00163,2025-08-05,Sudeste,29,Básico,Anual,Boleto,10,74.15,0,1,9,22.0,7,Não,0,
CUST-00164,2023-11-19,Sudeste,44,Básico,Bienal,Cartão,31,39.0,1,0,10,28.2,19,Sim,0,
CUST-00165,2021-08-17,Sul,18,Padrão,Mensal,Cartão,59,85.22,5,1,8,28.3,4,Sim,1,2026-05-30
CUST-00166,2024-08-02,Sudeste,18,Padrão,Anual,Cartão,23,90.85,2,0,7,30.7,15,Sim,0,
CUST-00167,2022-08-18,Nordeste,55,Básico,Anual,Cartão,47,64.21,0,0,6,51.9,9,Sim,1,2026-01-31
CUST-00168,2022-10-01,Nordeste,50,Premium,Bienal,Boleto,45,192.28,1,0,8,39.9,5,Não,0,
CUST-00169,2024-05-27,Sudeste,26,Padrão,Anual,Cartão,25,87.67,1,0,8,44.3,9,Não,0,
CUST-00170,2023-01-17,Norte,39,Premium,Mensal,Pix,42,160.28,0,1,8,20.8,30,Sim,0,
CUST-00171,2025-08-13,Sudeste,51,Padrão,Bienal,Boleto,10,99.08,1,0,5,44.7,9,Não,0,
CUST-00172,2024-09-06,Sul,44,Premium,Anual,Cartão,22,154.78,1,0,5,20.2,6,Não,0,
CUST-00173,2023-10-12,Sudeste,41,Básico,Mensal,Boleto,33,58.33,3,0,7,30.2,11,Sim,0,
CUST-00174,2024-05-14,Norte,52,Básico,Mensal,Cartão,25,52.49,1,0,9,24.8,8,Sim,0,
CUST-00175,2025-07-07,Sudeste,30,Premium,Bienal,Boleto,11,197.4,3,0,9,25.5,5,Não,0,
CUST-00176,2023-01-16,Sudeste,39,Premium,Mensal,Boleto,42,169.5,5,1,6,88.5,6,Não,1,2026-02-16
CUST-00177,2023-09-18,Sul,39,Padrão,Anual,Boleto,33,92.61,3,0,3,26.5,0,Sim,0,
CUST-00178,2024-03-05,Norte,36,Básico,Mensal,Pix,28,75.57,1,1,10,11.3,27,Sim,0,
CUST-00179,2022-02-06,Centro-Oeste,34,Básico,Anual,Boleto,53,62.59,3,0,10,50.2,15,Sim,0,
CUST-00180,2022-11-23,Nordeste,40,Padrão,Mensal,Boleto,43,99.81,3,0,7,31.5,3,Sim,0,
CUST-00181,2026-03-14,Centro-Oeste,39,Premium,Anual,Pix,3,156.45,3,0,6,43.4,5,Sim,0,
CUST-00182,2024-02-24,Centro-Oeste,26,Básico,Mensal,Cartão,28,55.5,0,0,6,22.0,10,Sim,0,
CUST-00183,2024-02-25,Sul,49,Básico,Bienal,Cartão,28,41.92,2,0,9,30.8,11,Não,0,
CUST-00184,2024-10-30,Sudeste,27,Padrão,Mensal,Cartão,20,75.57,1,0,8,33.1,6,Não,1,2026-03-30
CUST-00185,2026-02-22,Nordeste,36,Padrão,Mensal,Cartão,4,104.19,3,0,6,33.0,4,Não,0,
CUST-00186,2025-04-29,Nordeste,35,Padrão,Mensal,Débito automático,14,96.31,1,0,10,31.5,1,Sim,0,
CUST-00187,2026-03-07,Sudeste,43,Padrão,Mensal,Débito automático,3,111.28,0,1,4,48.7,11,Sim,0,
CUST-00188,2020-07-24,Sudeste,18,Premium,Bienal,Cartão,72,146.54,2,0,6,52.1,3,Sim,1,2026-03-25
CUST-00189,2024-05-16,Nordeste,50,Básico,Mensal,Débito automático,25,43.63,1,2,6,21.5,11,Não,1,2026-04-09
CUST-00190,2023-08-06,Sudeste,31,Padrão,Mensal,Boleto,35,109.87,3,2,7,50.7,19,Não,1,2026-02-03
CUST-00191,2025-07-14,Norte,54,Padrão,Anual,Pix,11,94.87,3,1,9,22.7,8,Sim,0,
CUST-00192,2026-02-21,Sudeste,33,Padrão,Mensal,Débito automático,4,110.98,3,1,9,42.1,2,Sim,0,
CUST-00193,2024-11-30,Sudeste,38,Premium,Mensal,Boleto,19,159.47,4,1,7,10.6,0,Sim,0,
CUST-00194,2025-01-23,Centro-Oeste,62,Padrão,Anual,Pix,17,125.29,3,0,4,48.9,1,Sim,0,
CUST-00195,2024-01-19,Sudeste,36,Padrão,Mensal,Cartão,29,109.58,1,0,9,40.1,17,Não,0,
CUST-00196,2024-11-26,Sudeste,54,Básico,Anual,Cartão,19,64.74,1,1,5,23.5,32,Sim,0,
CUST-00197,2020-07-02,Sul,39,Padrão,Anual,Débito automático,72,110.2,3,1,6,34.5,2,Sim,0,
CUST-00198,2022-05-29,Centro-Oeste,44,Básico,Mensal,Cartão,49,55.18,1,0,7,31.5,9,Não,0,
CUST-00199,2021-05-18,Sudeste,40,Básico,Anual,Cartão,62,39.0,0,0,5,36.3,12,Sim,0,
CUST-00200,2024-05-16,Sudeste,49,Padrão,Anual,Cartão,25,104.05,1,0,5,36.8,16,Sim,1,2026-04-04
CUST-00201,2024-01-22,Nordeste,31,Padrão,Mensal,Pix,29,126.18,1,1,9,31.7,44,Não,1,2026-01-13
CUST-00202,2021-09-09,Norte,27,Premium,Anual,Pix,58,126.93,2,1,10,65.4,0,Não,0,
CUST-00203,2024-12-26,Sul,31,Padrão,Mensal,Débito automático,18,105.57,3,0,7,26.7,3,Não,0,
CUST-00204,2023-10-14,Sudeste,40,Premium,Mensal,Pix,33,137.51,1,0,3,41.7,2,Sim,0,
CUST-00205,2024-11-10,Sudeste,36,Básico,Anual,Débito automático,19,58.67,1,0,8,38.9,21,Não,1,2026-05-16
CUST-00206,2023-07-29,Sudeste,48,Padrão,Mensal,Pix,35,100.11,0,0,6,28.0,13,Sim,1,2026-06-04
CUST-00207,2025-09-06,Sudeste,55,Premium,Mensal,Pix,9,169.46,1,1,8,61.6,19,Sim,0,
CUST-00208,2025-02-25,Nordeste,27,Padrão,Mensal,Cartão,16,101.94,2,0,8,20.8,2,Sim,0,
CUST-00209,2024-01-16,Sudeste,30,Padrão,Anual,Cartão,29,118.23,3,0,3,45.5,24,Sim,1,2026-04-09
CUST-00210,2023-11-07,Sul,22,Padrão,Anual,Débito automático,32,115.33,1,1,6,41.5,10,Sim,0,
CUST-00211,2023-02-25,Nordeste,63,Básico,Mensal,Boleto,40,56.25,2,0,8,39.7,3,Sim,0,
CUST-00212,2025-08-19,Sul,43,Padrão,Mensal,Pix,10,114.32,1,0,7,34.3,9,Sim,0,
CUST-00213,2024-01-25,Sudeste,45,Básico,Bienal,Débito automático,29,54.62,1,1,5,50.5,11,Sim,0,
CUST-00214,2025-11-03,Nordeste,23,Básico,Mensal,Boleto,7,52.21,0,0,8,17.5,9,Sim,0,
CUST-00215,2024-10-29,Nordeste,39,Básico,Mensal,Cartão,20,42.14,0,2,4,23.1,17,Sim,1,2026-02-17
CUST-00216,2024-06-01,Nordeste,45,Básico,Mensal,Pix,25,77.37,2,0,8,40.5,8,Não,1,2026-02-06
CUST-00217,2024-07-22,Sudeste,36,Básico,Anual,Boleto,23,54.8,0,0,6,23.9,5,Sim,0,
CUST-00218,2020-12-25,Sudeste,52,Premium,Mensal,Boleto,67,125.1,0,1,8,21.7,3,Não,0,
CUST-00219,2024-04-19,Centro-Oeste,67,Padrão,Anual,Cartão,26,106.59,1,1,7,58.0,12,Não,1,2026-02-18
CUST-00220,2023-07-13,Sudeste,28,Premium,Anual,Cartão,36,152.92,1,0,8,59.5,11,Não,1,2026-05-16
CUST-00221,2024-01-15,Sudeste,27,Padrão,Mensal,Pix,29,94.82,4,1,10,41.8,4,Sim,0,
CUST-00222,2024-07-01,Sul,28,Básico,Mensal,Cartão,24,55.72,0,1,9,24.2,9,Sim,0,
CUST-00223,2023-07-27,Nordeste,58,Básico,Mensal,Cartão,35,54.29,1,0,9,27.0,5,Não,0,
